27/07/2023 10:51:10 | Info | User | Fropops-c8b3f43c-5016-40c1-8f31-792be7aab3b6 | 40aaf06475 | Command tasked to agent : Exit
27/07/2023 10:54:58 | Info | User | Fropops-5582ca13-f6b5-41b6-bb23-e06e5d11963a |  | Connexion to TeamServer
27/07/2023 10:54:59 | Info | User | Fropops-5582ca13-f6b5-41b6-bb23-e06e5d11963a |  | Connexion to TeamServer
27/07/2023 10:55:15 | Info | User | Fropops-5582ca13-f6b5-41b6-bb23-e06e5d11963a | ab0af89051 | Command tasked to agent : Link
27/07/2023 10:55:29 | Info | User | Fropops-5582ca13-f6b5-41b6-bb23-e06e5d11963a | abf033e0fd | Command tasked to agent : Shell
27/07/2023 10:56:30 | Info | User | Fropops-5582ca13-f6b5-41b6-bb23-e06e5d11963a | abf033e0fd | Command tasked to agent : Shell
27/07/2023 10:58:02 | Info | User | Fropops-5582ca13-f6b5-41b6-bb23-e06e5d11963a | ab0af89051 | Command tasked to agent : Shell
27/07/2023 10:58:25 | Info | User | Fropops-5582ca13-f6b5-41b6-bb23-e06e5d11963a | abf033e0fd | Command tasked to agent : Shell
27/07/2023 10:59:38 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf |  | Connexion to TeamServer
27/07/2023 10:59:38 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf |  | Connexion to TeamServer
27/07/2023 10:59:58 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf | 7690fa05c5 | Command tasked to agent : Link
27/07/2023 11:00:52 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf | fcba77a2b5 | Command tasked to agent : Shell
27/07/2023 11:01:14 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf | fcba77a2b5 | Command tasked to agent : Shell
27/07/2023 11:01:29 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf | fcba77a2b5 | Command tasked to agent : Shell
27/07/2023 11:01:36 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf | fcba77a2b5 | Command tasked to agent : Exit
27/07/2023 11:02:18 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf | 7690fa05c5 | Command tasked to agent : Shell
27/07/2023 11:02:24 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf | 7690fa05c5 | Command tasked to agent : Exit
27/07/2023 11:02:51 | Info | User | Fropops-4f20b158-83a5-4978-bbac-70193df7a4cf |  | Exit TeamServer
